id,path,fake,real
mixed_19654,/home/tdl/deepvoice/CQT_test_nocan/mixed_19654.ogg,1,1
QEOEOODI,/home/tdl/deepvoice/CQT_test_nocan/QEOEOODI.ogg,0,1
VEFINLUU,/home/tdl/deepvoice/CQT_test_nocan/VEFINLUU.ogg,0,1
mixed_19039,/home/tdl/deepvoice/CQT_test_nocan/mixed_19039.ogg,1,1
TAEYWVFM,/home/tdl/deepvoice/CQT_test_nocan/TAEYWVFM.ogg,1,0
EKRKUKLS,/home/tdl/deepvoice/CQT_test_nocan/EKRKUKLS.ogg,0,1
mixed_4211,/home/tdl/deepvoice/CQT_test_nocan/mixed_4211.ogg,1,1
mixed_16378,/home/tdl/deepvoice/CQT_test_nocan/mixed_16378.ogg,1,1
mixed_23051,/home/tdl/deepvoice/CQT_test_nocan/mixed_23051.ogg,1,1
QBVGPPNJ,/home/tdl/deepvoice/CQT_test_nocan/QBVGPPNJ.ogg,1,0
mixed_1974,/home/tdl/deepvoice/CQT_test_nocan/mixed_1974.ogg,1,1
RWSEBDMS,/home/tdl/deepvoice/CQT_test_nocan/RWSEBDMS.ogg,1,0
QJLQGLYH,/home/tdl/deepvoice/CQT_test_nocan/QJLQGLYH.ogg,1,0
mixed_23089,/home/tdl/deepvoice/CQT_test_nocan/mixed_23089.ogg,1,1
TMXTAXFQ,/home/tdl/deepvoice/CQT_test_nocan/TMXTAXFQ.ogg,0,1
KNALNUWV,/home/tdl/deepvoice/CQT_test_nocan/KNALNUWV.ogg,1,0
UHRWSFJY,/home/tdl/deepvoice/CQT_test_nocan/UHRWSFJY.ogg,0,1
TIPBLPIE,/home/tdl/deepvoice/CQT_test_nocan/TIPBLPIE.ogg,1,0
KOIPDIOM,/home/tdl/deepvoice/CQT_test_nocan/KOIPDIOM.ogg,1,0
mixed_4883,/home/tdl/deepvoice/CQT_test_nocan/mixed_4883.ogg,1,1
ECEKYVON,/home/tdl/deepvoice/CQT_test_nocan/ECEKYVON.ogg,0,1
mixed_2851,/home/tdl/deepvoice/CQT_test_nocan/mixed_2851.ogg,1,1
mixed_5980,/home/tdl/deepvoice/CQT_test_nocan/mixed_5980.ogg,1,1
mixed_18796,/home/tdl/deepvoice/CQT_test_nocan/mixed_18796.ogg,1,1
mixed_11781,/home/tdl/deepvoice/CQT_test_nocan/mixed_11781.ogg,1,1
mixed_4012,/home/tdl/deepvoice/CQT_test_nocan/mixed_4012.ogg,1,1
RDJRPXQS,/home/tdl/deepvoice/CQT_test_nocan/RDJRPXQS.ogg,1,0
mixed_14958,/home/tdl/deepvoice/CQT_test_nocan/mixed_14958.ogg,1,1
XADAXEPM,/home/tdl/deepvoice/CQT_test_nocan/XADAXEPM.ogg,1,0
SIWVDRED,/home/tdl/deepvoice/CQT_test_nocan/SIWVDRED.ogg,1,0
mixed_10845,/home/tdl/deepvoice/CQT_test_nocan/mixed_10845.ogg,1,1
mixed_1660,/home/tdl/deepvoice/CQT_test_nocan/mixed_1660.ogg,1,1
mixed_8390,/home/tdl/deepvoice/CQT_test_nocan/mixed_8390.ogg,1,1
OQIDVWJT,/home/tdl/deepvoice/CQT_test_nocan/OQIDVWJT.ogg,1,0
WXVGKOCQ,/home/tdl/deepvoice/CQT_test_nocan/WXVGKOCQ.ogg,0,1
PELBSPXB,/home/tdl/deepvoice/CQT_test_nocan/PELBSPXB.ogg,1,0
GCESAZGW,/home/tdl/deepvoice/CQT_test_nocan/GCESAZGW.ogg,1,0
mixed_26183,/home/tdl/deepvoice/CQT_test_nocan/mixed_26183.ogg,1,1
FZXUNJVF,/home/tdl/deepvoice/CQT_test_nocan/FZXUNJVF.ogg,0,1
mixed_3245,/home/tdl/deepvoice/CQT_test_nocan/mixed_3245.ogg,1,1
YQYGMCUU,/home/tdl/deepvoice/CQT_test_nocan/YQYGMCUU.ogg,0,1
IKRPAYUY,/home/tdl/deepvoice/CQT_test_nocan/IKRPAYUY.ogg,0,1
GNFRRDOR,/home/tdl/deepvoice/CQT_test_nocan/GNFRRDOR.ogg,0,1
DZNCKLOJ,/home/tdl/deepvoice/CQT_test_nocan/DZNCKLOJ.ogg,0,1
DYEWWVDS,/home/tdl/deepvoice/CQT_test_nocan/DYEWWVDS.ogg,0,1
mixed_25746,/home/tdl/deepvoice/CQT_test_nocan/mixed_25746.ogg,1,1
YUXHLRHT,/home/tdl/deepvoice/CQT_test_nocan/YUXHLRHT.ogg,1,0
mixed_8895,/home/tdl/deepvoice/CQT_test_nocan/mixed_8895.ogg,1,1
YADPNYBZ,/home/tdl/deepvoice/CQT_test_nocan/YADPNYBZ.ogg,0,1
ONNDPDOE,/home/tdl/deepvoice/CQT_test_nocan/ONNDPDOE.ogg,1,0
KSONKHZB,/home/tdl/deepvoice/CQT_test_nocan/KSONKHZB.ogg,0,1
FMGCGBAM,/home/tdl/deepvoice/CQT_test_nocan/FMGCGBAM.ogg,1,0
VFADKOIJ,/home/tdl/deepvoice/CQT_test_nocan/VFADKOIJ.ogg,0,1
mixed_3087,/home/tdl/deepvoice/CQT_test_nocan/mixed_3087.ogg,1,1
DNFYJDAQ,/home/tdl/deepvoice/CQT_test_nocan/DNFYJDAQ.ogg,0,1
mixed_24544,/home/tdl/deepvoice/CQT_test_nocan/mixed_24544.ogg,1,1
CDDJHJZR,/home/tdl/deepvoice/CQT_test_nocan/CDDJHJZR.ogg,0,1
mixed_1947,/home/tdl/deepvoice/CQT_test_nocan/mixed_1947.ogg,1,1
LUZQRKLU,/home/tdl/deepvoice/CQT_test_nocan/LUZQRKLU.ogg,0,1
mixed_1863,/home/tdl/deepvoice/CQT_test_nocan/mixed_1863.ogg,1,1
TBSKDNSN,/home/tdl/deepvoice/CQT_test_nocan/TBSKDNSN.ogg,1,0
TACPWHPR,/home/tdl/deepvoice/CQT_test_nocan/TACPWHPR.ogg,1,0
RSUMOYEF,/home/tdl/deepvoice/CQT_test_nocan/RSUMOYEF.ogg,0,1
KILDNEYA,/home/tdl/deepvoice/CQT_test_nocan/KILDNEYA.ogg,1,0
MGFFURVR,/home/tdl/deepvoice/CQT_test_nocan/MGFFURVR.ogg,1,0
KXHNOGCL,/home/tdl/deepvoice/CQT_test_nocan/KXHNOGCL.ogg,1,0
XVSXZSPW,/home/tdl/deepvoice/CQT_test_nocan/XVSXZSPW.ogg,1,0
XYBDIMGD,/home/tdl/deepvoice/CQT_test_nocan/XYBDIMGD.ogg,1,0
mixed_8686,/home/tdl/deepvoice/CQT_test_nocan/mixed_8686.ogg,1,1
WWXVZIWB,/home/tdl/deepvoice/CQT_test_nocan/WWXVZIWB.ogg,0,1
mixed_15894,/home/tdl/deepvoice/CQT_test_nocan/mixed_15894.ogg,1,1
mixed_10991,/home/tdl/deepvoice/CQT_test_nocan/mixed_10991.ogg,1,1
NPKNMJQD,/home/tdl/deepvoice/CQT_test_nocan/NPKNMJQD.ogg,1,0
QGBLORCW,/home/tdl/deepvoice/CQT_test_nocan/QGBLORCW.ogg,0,1
mixed_22683,/home/tdl/deepvoice/CQT_test_nocan/mixed_22683.ogg,1,1
mixed_184,/home/tdl/deepvoice/CQT_test_nocan/mixed_184.ogg,1,1
RNRFEFLW,/home/tdl/deepvoice/CQT_test_nocan/RNRFEFLW.ogg,0,1
mixed_3550,/home/tdl/deepvoice/CQT_test_nocan/mixed_3550.ogg,1,1
QJFSLTWM,/home/tdl/deepvoice/CQT_test_nocan/QJFSLTWM.ogg,1,0
mixed_20006,/home/tdl/deepvoice/CQT_test_nocan/mixed_20006.ogg,1,1
mixed_27490,/home/tdl/deepvoice/CQT_test_nocan/mixed_27490.ogg,1,1
QDGKVROZ,/home/tdl/deepvoice/CQT_test_nocan/QDGKVROZ.ogg,0,1
mixed_7873,/home/tdl/deepvoice/CQT_test_nocan/mixed_7873.ogg,1,1
mixed_1548,/home/tdl/deepvoice/CQT_test_nocan/mixed_1548.ogg,1,1
MVNPSFLX,/home/tdl/deepvoice/CQT_test_nocan/MVNPSFLX.ogg,1,0
IXBMDJXY,/home/tdl/deepvoice/CQT_test_nocan/IXBMDJXY.ogg,1,0
TOEWSZBA,/home/tdl/deepvoice/CQT_test_nocan/TOEWSZBA.ogg,1,0
mixed_22220,/home/tdl/deepvoice/CQT_test_nocan/mixed_22220.ogg,1,1
ZWPWYAIZ,/home/tdl/deepvoice/CQT_test_nocan/ZWPWYAIZ.ogg,1,0
mixed_10145,/home/tdl/deepvoice/CQT_test_nocan/mixed_10145.ogg,1,1
CFUGUNVY,/home/tdl/deepvoice/CQT_test_nocan/CFUGUNVY.ogg,1,0
BFVXPUMJ,/home/tdl/deepvoice/CQT_test_nocan/BFVXPUMJ.ogg,0,1
UZEZLPTO,/home/tdl/deepvoice/CQT_test_nocan/UZEZLPTO.ogg,1,0
AYJAFAAG,/home/tdl/deepvoice/CQT_test_nocan/AYJAFAAG.ogg,0,1
AHJGLZQK,/home/tdl/deepvoice/CQT_test_nocan/AHJGLZQK.ogg,0,1
mixed_9043,/home/tdl/deepvoice/CQT_test_nocan/mixed_9043.ogg,1,1
mixed_17345,/home/tdl/deepvoice/CQT_test_nocan/mixed_17345.ogg,1,1
mixed_4155,/home/tdl/deepvoice/CQT_test_nocan/mixed_4155.ogg,1,1
BKRRZHPN,/home/tdl/deepvoice/CQT_test_nocan/BKRRZHPN.ogg,1,0
MPZGDDAG,/home/tdl/deepvoice/CQT_test_nocan/MPZGDDAG.ogg,1,0
mixed_15086,/home/tdl/deepvoice/CQT_test_nocan/mixed_15086.ogg,1,1
mixed_21911,/home/tdl/deepvoice/CQT_test_nocan/mixed_21911.ogg,1,1
mixed_499,/home/tdl/deepvoice/CQT_test_nocan/mixed_499.ogg,1,1
mixed_16350,/home/tdl/deepvoice/CQT_test_nocan/mixed_16350.ogg,1,1
PJRRIFUZ,/home/tdl/deepvoice/CQT_test_nocan/PJRRIFUZ.ogg,1,0
mixed_13819,/home/tdl/deepvoice/CQT_test_nocan/mixed_13819.ogg,1,1
UUFPQZOI,/home/tdl/deepvoice/CQT_test_nocan/UUFPQZOI.ogg,1,0
YLDHPVST,/home/tdl/deepvoice/CQT_test_nocan/YLDHPVST.ogg,1,0
OWOICYQP,/home/tdl/deepvoice/CQT_test_nocan/OWOICYQP.ogg,0,1
OSCOVQZE,/home/tdl/deepvoice/CQT_test_nocan/OSCOVQZE.ogg,0,1
CQIGJDDT,/home/tdl/deepvoice/CQT_test_nocan/CQIGJDDT.ogg,0,1
RHKUCKSH,/home/tdl/deepvoice/CQT_test_nocan/RHKUCKSH.ogg,0,1
SFQAMEGQ,/home/tdl/deepvoice/CQT_test_nocan/SFQAMEGQ.ogg,0,1
mixed_26809,/home/tdl/deepvoice/CQT_test_nocan/mixed_26809.ogg,1,1
VLQRQNYU,/home/tdl/deepvoice/CQT_test_nocan/VLQRQNYU.ogg,1,0
KCBVCDEO,/home/tdl/deepvoice/CQT_test_nocan/KCBVCDEO.ogg,1,0
mixed_22473,/home/tdl/deepvoice/CQT_test_nocan/mixed_22473.ogg,1,1
GYHGXWBB,/home/tdl/deepvoice/CQT_test_nocan/GYHGXWBB.ogg,1,0
LCUVARFW,/home/tdl/deepvoice/CQT_test_nocan/LCUVARFW.ogg,0,1
EQXRHHUI,/home/tdl/deepvoice/CQT_test_nocan/EQXRHHUI.ogg,1,0
FWTBHQZU,/home/tdl/deepvoice/CQT_test_nocan/FWTBHQZU.ogg,1,0
JHPDOULL,/home/tdl/deepvoice/CQT_test_nocan/JHPDOULL.ogg,1,0
mixed_9497,/home/tdl/deepvoice/CQT_test_nocan/mixed_9497.ogg,1,1
mixed_3898,/home/tdl/deepvoice/CQT_test_nocan/mixed_3898.ogg,1,1
OLORBJOR,/home/tdl/deepvoice/CQT_test_nocan/OLORBJOR.ogg,1,0
NUWNMIBM,/home/tdl/deepvoice/CQT_test_nocan/NUWNMIBM.ogg,1,0
QZTZWCPU,/home/tdl/deepvoice/CQT_test_nocan/QZTZWCPU.ogg,0,1
mixed_23272,/home/tdl/deepvoice/CQT_test_nocan/mixed_23272.ogg,1,1
AFQSNMRI,/home/tdl/deepvoice/CQT_test_nocan/AFQSNMRI.ogg,1,0
mixed_6524,/home/tdl/deepvoice/CQT_test_nocan/mixed_6524.ogg,1,1
ELUKVPWE,/home/tdl/deepvoice/CQT_test_nocan/ELUKVPWE.ogg,0,1
mixed_5431,/home/tdl/deepvoice/CQT_test_nocan/mixed_5431.ogg,1,1
mixed_15587,/home/tdl/deepvoice/CQT_test_nocan/mixed_15587.ogg,1,1
HZGMRZPP,/home/tdl/deepvoice/CQT_test_nocan/HZGMRZPP.ogg,1,0
mixed_3439,/home/tdl/deepvoice/CQT_test_nocan/mixed_3439.ogg,1,1
VWPUCDGE,/home/tdl/deepvoice/CQT_test_nocan/VWPUCDGE.ogg,0,1
WAPCKARN,/home/tdl/deepvoice/CQT_test_nocan/WAPCKARN.ogg,1,0
YKNSSTDX,/home/tdl/deepvoice/CQT_test_nocan/YKNSSTDX.ogg,0,1
mixed_5146,/home/tdl/deepvoice/CQT_test_nocan/mixed_5146.ogg,1,1
mixed_6800,/home/tdl/deepvoice/CQT_test_nocan/mixed_6800.ogg,1,1
mixed_8181,/home/tdl/deepvoice/CQT_test_nocan/mixed_8181.ogg,1,1
mixed_10394,/home/tdl/deepvoice/CQT_test_nocan/mixed_10394.ogg,1,1
mixed_15997,/home/tdl/deepvoice/CQT_test_nocan/mixed_15997.ogg,1,1
mixed_15020,/home/tdl/deepvoice/CQT_test_nocan/mixed_15020.ogg,1,1
AFSVCRLI,/home/tdl/deepvoice/CQT_test_nocan/AFSVCRLI.ogg,1,0
HNJKSUKT,/home/tdl/deepvoice/CQT_test_nocan/HNJKSUKT.ogg,1,0
mixed_16583,/home/tdl/deepvoice/CQT_test_nocan/mixed_16583.ogg,1,1
mixed_12647,/home/tdl/deepvoice/CQT_test_nocan/mixed_12647.ogg,1,1
WBDSRSDC,/home/tdl/deepvoice/CQT_test_nocan/WBDSRSDC.ogg,0,1
KMPBNFKP,/home/tdl/deepvoice/CQT_test_nocan/KMPBNFKP.ogg,0,1
OZGSPXLD,/home/tdl/deepvoice/CQT_test_nocan/OZGSPXLD.ogg,1,0
CURAFTFU,/home/tdl/deepvoice/CQT_test_nocan/CURAFTFU.ogg,0,1
mixed_2374,/home/tdl/deepvoice/CQT_test_nocan/mixed_2374.ogg,1,1
mixed_9397,/home/tdl/deepvoice/CQT_test_nocan/mixed_9397.ogg,1,1
mixed_724,/home/tdl/deepvoice/CQT_test_nocan/mixed_724.ogg,1,1
EXHDPWGM,/home/tdl/deepvoice/CQT_test_nocan/EXHDPWGM.ogg,0,1
mixed_8920,/home/tdl/deepvoice/CQT_test_nocan/mixed_8920.ogg,1,1
mixed_355,/home/tdl/deepvoice/CQT_test_nocan/mixed_355.ogg,1,1
mixed_20034,/home/tdl/deepvoice/CQT_test_nocan/mixed_20034.ogg,1,1
mixed_21592,/home/tdl/deepvoice/CQT_test_nocan/mixed_21592.ogg,1,1
ADSSBDPL,/home/tdl/deepvoice/CQT_test_nocan/ADSSBDPL.ogg,0,1
mixed_17906,/home/tdl/deepvoice/CQT_test_nocan/mixed_17906.ogg,1,1
GLMVISFB,/home/tdl/deepvoice/CQT_test_nocan/GLMVISFB.ogg,0,1
QIZVAMXZ,/home/tdl/deepvoice/CQT_test_nocan/QIZVAMXZ.ogg,0,1
NSZRBSZJ,/home/tdl/deepvoice/CQT_test_nocan/NSZRBSZJ.ogg,1,0
mixed_19450,/home/tdl/deepvoice/CQT_test_nocan/mixed_19450.ogg,1,1
ZVFAKIAP,/home/tdl/deepvoice/CQT_test_nocan/ZVFAKIAP.ogg,0,1
VVUWLHMA,/home/tdl/deepvoice/CQT_test_nocan/VVUWLHMA.ogg,1,0
mixed_6777,/home/tdl/deepvoice/CQT_test_nocan/mixed_6777.ogg,1,1
mixed_91,/home/tdl/deepvoice/CQT_test_nocan/mixed_91.ogg,1,1
CWVGEFYP,/home/tdl/deepvoice/CQT_test_nocan/CWVGEFYP.ogg,0,1
MSSLDDTE,/home/tdl/deepvoice/CQT_test_nocan/MSSLDDTE.ogg,1,0
WICGRCNA,/home/tdl/deepvoice/CQT_test_nocan/WICGRCNA.ogg,0,1
LMIIQHHW,/home/tdl/deepvoice/CQT_test_nocan/LMIIQHHW.ogg,1,0
TKMYQUNV,/home/tdl/deepvoice/CQT_test_nocan/TKMYQUNV.ogg,1,0
mixed_10126,/home/tdl/deepvoice/CQT_test_nocan/mixed_10126.ogg,1,1
SLVUSMFY,/home/tdl/deepvoice/CQT_test_nocan/SLVUSMFY.ogg,0,1
RSEKFTUR,/home/tdl/deepvoice/CQT_test_nocan/RSEKFTUR.ogg,0,1
IHBMHPVK,/home/tdl/deepvoice/CQT_test_nocan/IHBMHPVK.ogg,0,1
mixed_3896,/home/tdl/deepvoice/CQT_test_nocan/mixed_3896.ogg,1,1
GTKYDPKQ,/home/tdl/deepvoice/CQT_test_nocan/GTKYDPKQ.ogg,1,0
YJKKAYLL,/home/tdl/deepvoice/CQT_test_nocan/YJKKAYLL.ogg,1,0
UYHGRZBF,/home/tdl/deepvoice/CQT_test_nocan/UYHGRZBF.ogg,0,1
PWJUGBGE,/home/tdl/deepvoice/CQT_test_nocan/PWJUGBGE.ogg,1,0
VJVOFZCB,/home/tdl/deepvoice/CQT_test_nocan/VJVOFZCB.ogg,0,1
WBHVRZRJ,/home/tdl/deepvoice/CQT_test_nocan/WBHVRZRJ.ogg,1,0
mixed_22503,/home/tdl/deepvoice/CQT_test_nocan/mixed_22503.ogg,1,1
ZOCRKCPA,/home/tdl/deepvoice/CQT_test_nocan/ZOCRKCPA.ogg,1,0
NBMRZJWW,/home/tdl/deepvoice/CQT_test_nocan/NBMRZJWW.ogg,0,1
KKAPQZZZ,/home/tdl/deepvoice/CQT_test_nocan/KKAPQZZZ.ogg,1,0
mixed_2511,/home/tdl/deepvoice/CQT_test_nocan/mixed_2511.ogg,1,1
mixed_19145,/home/tdl/deepvoice/CQT_test_nocan/mixed_19145.ogg,1,1
AWFEQQRS,/home/tdl/deepvoice/CQT_test_nocan/AWFEQQRS.ogg,1,0
MHBTQVXR,/home/tdl/deepvoice/CQT_test_nocan/MHBTQVXR.ogg,0,1
mixed_11607,/home/tdl/deepvoice/CQT_test_nocan/mixed_11607.ogg,1,1
WYAJZISS,/home/tdl/deepvoice/CQT_test_nocan/WYAJZISS.ogg,1,0
GVJHBNWB,/home/tdl/deepvoice/CQT_test_nocan/GVJHBNWB.ogg,0,1
UTMRMDCW,/home/tdl/deepvoice/CQT_test_nocan/UTMRMDCW.ogg,0,1
mixed_13192,/home/tdl/deepvoice/CQT_test_nocan/mixed_13192.ogg,1,1
IUNDHNIN,/home/tdl/deepvoice/CQT_test_nocan/IUNDHNIN.ogg,1,0
SPCTZFBF,/home/tdl/deepvoice/CQT_test_nocan/SPCTZFBF.ogg,1,0
SJSRXQCL,/home/tdl/deepvoice/CQT_test_nocan/SJSRXQCL.ogg,1,0
mixed_25170,/home/tdl/deepvoice/CQT_test_nocan/mixed_25170.ogg,1,1
HHDXQKYL,/home/tdl/deepvoice/CQT_test_nocan/HHDXQKYL.ogg,0,1
mixed_14762,/home/tdl/deepvoice/CQT_test_nocan/mixed_14762.ogg,1,1
mixed_3633,/home/tdl/deepvoice/CQT_test_nocan/mixed_3633.ogg,1,1
mixed_5548,/home/tdl/deepvoice/CQT_test_nocan/mixed_5548.ogg,1,1
mixed_13970,/home/tdl/deepvoice/CQT_test_nocan/mixed_13970.ogg,1,1
mixed_19956,/home/tdl/deepvoice/CQT_test_nocan/mixed_19956.ogg,1,1
DBQNUIOZ,/home/tdl/deepvoice/CQT_test_nocan/DBQNUIOZ.ogg,0,1
KFASMBJZ,/home/tdl/deepvoice/CQT_test_nocan/KFASMBJZ.ogg,1,0
ICHIDKAW,/home/tdl/deepvoice/CQT_test_nocan/ICHIDKAW.ogg,1,0
JFMVFIHC,/home/tdl/deepvoice/CQT_test_nocan/JFMVFIHC.ogg,1,0
mixed_3780,/home/tdl/deepvoice/CQT_test_nocan/mixed_3780.ogg,1,1
mixed_12623,/home/tdl/deepvoice/CQT_test_nocan/mixed_12623.ogg,1,1
mixed_17737,/home/tdl/deepvoice/CQT_test_nocan/mixed_17737.ogg,1,1
BPFIBPCT,/home/tdl/deepvoice/CQT_test_nocan/BPFIBPCT.ogg,1,0
YJJPPPSE,/home/tdl/deepvoice/CQT_test_nocan/YJJPPPSE.ogg,0,1
mixed_2881,/home/tdl/deepvoice/CQT_test_nocan/mixed_2881.ogg,1,1
LCHQWLIP,/home/tdl/deepvoice/CQT_test_nocan/LCHQWLIP.ogg,0,1
XJKNBIOZ,/home/tdl/deepvoice/CQT_test_nocan/XJKNBIOZ.ogg,1,0
mixed_234,/home/tdl/deepvoice/CQT_test_nocan/mixed_234.ogg,1,1
OSRRLAIN,/home/tdl/deepvoice/CQT_test_nocan/OSRRLAIN.ogg,1,0
CLGSFDGL,/home/tdl/deepvoice/CQT_test_nocan/CLGSFDGL.ogg,0,1
USNJHEZR,/home/tdl/deepvoice/CQT_test_nocan/USNJHEZR.ogg,1,0
mixed_20354,/home/tdl/deepvoice/CQT_test_nocan/mixed_20354.ogg,1,1
NRIVNNTV,/home/tdl/deepvoice/CQT_test_nocan/NRIVNNTV.ogg,0,1
HOFHIFBB,/home/tdl/deepvoice/CQT_test_nocan/HOFHIFBB.ogg,1,0
BMFMZFRI,/home/tdl/deepvoice/CQT_test_nocan/BMFMZFRI.ogg,0,1
TCMEQSGN,/home/tdl/deepvoice/CQT_test_nocan/TCMEQSGN.ogg,1,0
MMSBNBRV,/home/tdl/deepvoice/CQT_test_nocan/MMSBNBRV.ogg,0,1
ZKTZMBAZ,/home/tdl/deepvoice/CQT_test_nocan/ZKTZMBAZ.ogg,1,0
mixed_22335,/home/tdl/deepvoice/CQT_test_nocan/mixed_22335.ogg,1,1
OAIARGSE,/home/tdl/deepvoice/CQT_test_nocan/OAIARGSE.ogg,1,0
mixed_22024,/home/tdl/deepvoice/CQT_test_nocan/mixed_22024.ogg,1,1
XVNGDJEB,/home/tdl/deepvoice/CQT_test_nocan/XVNGDJEB.ogg,1,0
mixed_20455,/home/tdl/deepvoice/CQT_test_nocan/mixed_20455.ogg,1,1
mixed_12434,/home/tdl/deepvoice/CQT_test_nocan/mixed_12434.ogg,1,1
mixed_5369,/home/tdl/deepvoice/CQT_test_nocan/mixed_5369.ogg,1,1
GVIGZVXO,/home/tdl/deepvoice/CQT_test_nocan/GVIGZVXO.ogg,0,1
WPDHISWT,/home/tdl/deepvoice/CQT_test_nocan/WPDHISWT.ogg,0,1
